nomenclature,deficit_total,nb_magasins,deficit_moyen,total_exploitation,total_stock
6030-01-4861256,11.0,2,5.5,6.0,17.0
7025-15-1413082,11.0,1,11.0,2.0,13.0
5895-01-5716701,-10.0,1,-10.0,11.0,1.0
7025-14-5452181,10.0,2,5.0,12.0,22.0
5998-14-4978786,-10.0,1,-10.0,12.0,2.0
5998-14-5149570,-10.0,1,-10.0,11.0,1.0
5836-37-5349926,-10.0,2,-5.0,25.0,15.0
5998-14-5803460,-10.0,1,-10.0,17.0,7.0
7025-20-0063155,-10.0,2,-5.0,43.0,33.0
5895-14-5874648,10.0,1,10.0,1.0,11.0
5895-25-1626130,-10.0,1,-10.0,11.0,1.0
5998-14-4761905,-10.0,1,-10.0,12.0,2.0
6030-14-5711031,-10.0,1,-10.0,12.0,2.0
5915-14-4852181,10.0,2,5.0,53.0,63.0
DIRI-14-0000189,-10.0,2,-5.0,12.0,2.0
5996-14-5886251,-10.0,1,-10.0,11.0,1.0
6130-01-6590426,-10.0,1,-10.0,14.0,4.0
5998-14-4852178,9.0,2,4.5,21.0,30.0
5998-14-4761676,9.0,1,9.0,4.0,13.0
5998-14-5271978,-9.0,1,-9.0,10.0,1.0
5895-01-6548839,-9.0,1,-9.0,10.0,1.0
7021-14-5910771,9.0,1,9.0,5.0,14.0
7025-01-6409765,9.0,2,4.5,9.0,18.0
7025-15-0168229,9.0,1,9.0,3.0,12.0
5810-14-5872765,9.0,1,9.0,3.0,12.0
7010-14-5717703,-9.0,2,-4.5,12.0,3.0
7025-14-5959022,9.0,1,9.0,6.0,15.0
5998-14-5149588,-9.0,3,-3.0,13.0,4.0
5820-17-1247012,-9.0,2,-4.5,16.0,7.0
5820-14-5960623,9.0,1,9.0,7.0,16.0
5998-14-5147122,9.0,1,9.0,2.0,11.0
DIRI-14-0002850,9.0,1,9.0,5.0,14.0
5998-14-4852174,9.0,1,9.0,2.0,11.0
5820-14-5892201,-9.0,1,-9.0,14.0,5.0
5895-14-5951970,9.0,3,3.0,315.0,324.0
5998-14-4761675,9.0,2,4.5,11.0,20.0
5805-01-6433469,8.0,1,8.0,4.0,12.0
7035-01-6774521,8.0,1,8.0,2.0,10.0
9080-DI-0362021,-8.0,1,-8.0,9.0,1.0
6030-14-5737039,8.0,1,8.0,1.0,9.0
9020-DI-1082016,-8.0,2,-4.0,14.0,6.0
5805-14-5427833,8.0,1,8.0,1.0,9.0
5805-01-6414432,8.0,1,8.0,7.0,15.0
5998-14-5115541,-8.0,1,-8.0,9.0,1.0
6030-14-5451517,-8.0,1,-8.0,10.0,2.0
5895-14-5900888,8.0,1,8.0,2.0,10.0
7025-01-5154390,-8.0,1,-8.0,9.0,1.0
5998-14-4852163,-8.0,3,-2.67,69.0,61.0
7025-01-5690988,8.0,2,4.0,8.0,16.0
5998-14-4392519,8.0,1,8.0,1.0,9.0
7025-01-6822886,-8.0,2,-4.0,29.0,21.0
7025-01-6906089,-8.0,1,-8.0,13.0,5.0
7025-14-6033579,8.0,1,8.0,2.0,10.0
5998-14-5649245,8.0,2,4.0,6.0,14.0
7010-01-6516598,-8.0,1,-8.0,11.0,3.0
5895-14-5878983,-8.0,1,-8.0,10.0,2.0
5895-14-5854233,-8.0,1,-8.0,9.0,1.0
5895-14-5695085,8.0,2,4.0,2.0,10.0
6730-14-5863391,8.0,1,8.0,1.0,9.0
6710-01-6661357,-8.0,1,-8.0,13.0,5.0
7010-01-6441911,-7.0,1,-7.0,19.0,12.0
7010-14-5717701,-7.0,1,-7.0,9.0,2.0
7035-14-5916707,-7.0,1,-7.0,17.0,10.0
7025-01-6429656,-7.0,1,-7.0,8.0,1.0
7010-14-5926783,7.0,1,7.0,4.0,11.0
7025-01-5944903,-7.0,1,-7.0,10.0,3.0
7025-01-5898446,7.0,1,7.0,6.0,13.0
7025-01-5621812,-7.0,1,-7.0,21.0,14.0
7035-01-6158873,-7.0,1,-7.0,20.0,13.0
7025-14-6013580,-7.0,1,-7.0,9.0,2.0
9010-DI-1032014,7.0,1,7.0,5.0,12.0
5110-14-5672350,7.0,1,7.0,1.0,8.0
5998-14-5649248,-7.0,2,-3.5,19.0,12.0
5998-14-5648947,7.0,3,2.33,13.0,20.0
5820-99-7543461,-7.0,1,-7.0,9.0,2.0
5820-99-2176599,-7.0,1,-7.0,23.0,16.0
5895-14-6008118,-7.0,1,-7.0,9.0,2.0
5998-14-4852175,7.0,2,3.5,22.0,29.0
5895-14-5854248,-7.0,1,-7.0,9.0,2.0
5975-14-4491636,7.0,1,7.0,3.0,10.0
5895-01-5059537,7.0,1,7.0,7.0,14.0
5820-01-6504028,7.0,2,3.5,9.0,16.0
5998-14-5149581,7.0,4,1.75,207.0,214.0
5985-22-6196630,-7.0,1,-7.0,10.0,3.0
5820-98-2043141,7.0,1,7.0,1.0,8.0
5998-14-4761918,-7.0,1,-7.0,9.0,2.0
5998-14-4760551,-7.0,1,-7.0,8.0,1.0
6130-12-4051298,7.0,2,3.5,6.0,13.0
7010-14-5954173,6.0,1,6.0,4.0,10.0
7025-01-6266751,-6.0,1,-6.0,10.0,4.0
5998-14-5729629,-6.0,5,-1.2,40.0,34.0
5998-14-5216510,-6.0,2,-3.0,10.0,4.0
7490-01-7136454,6.0,3,2.0,5.0,11.0
9010-DI-1072015,6.0,1,6.0,1.0,7.0
5810-14-6104556,6.0,1,6.0,3.0,9.0
5998-14-5595820,6.0,2,3.0,9.0,15.0
5895-14-5888112,6.0,1,6.0,1.0,7.0
9010-DI-1072013,-6.0,1,-6.0,8.0,2.0
5820-14-5649877,6.0,2,3.0,19.0,25.0
6130-14-4761679,6.0,1,6.0,2.0,8.0
7025-14-5899492,6.0,1,6.0,9.0,15.0
7035-01-6775865,6.0,1,6.0,2.0,8.0
5930-01-6473900,-6.0,1,-6.0,7.0,1.0
7050-27-0248275,-6.0,1,-6.0,7.0,1.0
7025-01-5160134,-6.0,1,-6.0,14.0,8.0
7025-01-5802001,-6.0,1,-6.0,7.0,1.0
7025-01-6065502,-6.0,2,-3.0,30.0,24.0
7025-01-7017005,-6.0,1,-6.0,7.0,1.0
5820-22-6161404,-6.0,1,-6.0,13.0,7.0
6130-01-6014800,6.0,1,6.0,1.0,7.0
7025-01-6746466,-6.0,4,-1.5,12.0,6.0
