magasin;nomenclature;quantite_exploitation;quantite_stock;deficit;type_deficit;deficit_abs;ratio_exp_stock
CNSO;7025-01-6229697;23.0;52.0;29.0;SURPLUS;29.0;0.442
BST;9030-DI-0012014;31.0;2.0;-29.0;MANQUE;29.0;15.492
BST;7025-01-6620265;31.0;2.0;-29.0;MANQUE;29.0;15.492
CGC;7025-01-6336396;30.0;1.0;-29.0;MANQUE;29.0;29.97
CGC;7035-15-0231142;36.0;7.0;-29.0;MANQUE;29.0;5.142
CNSO;7010-14-5696893;50.0;21.0;-29.0;MANQUE;29.0;2.381
CNSO;5998-14-4852170;2.0;31.0;29.0;SURPLUS;29.0;0.065
BST;5895-14-5892204;33.0;62.0;29.0;SURPLUS;29.0;0.532
CHG;5915-14-4852179;34.0;5.0;-29.0;MANQUE;29.0;6.799
MRC;5895-14-5818581;47.0;18.0;-29.0;MANQUE;29.0;2.611
CNSO;7025-01-6680574;1.0;30.0;29.0;SURPLUS;29.0;0.033
CNSO;DIRI-14-0002652;1.0;29.0;28.0;SURPLUS;28.0;0.034
MDM;5998-14-5115538;29.0;1.0;-28.0;MANQUE;28.0;28.971
CNSO;8145-14-5886587;2.0;30.0;28.0;SURPLUS;28.0;0.067
MRC;5998-14-4636519;29.0;1.0;-28.0;MANQUE;28.0;28.971
CGC;5895-01-6589391;40.0;12.0;-28.0;MANQUE;28.0;3.333
CGC;5998-14-5729634;30.0;2.0;-28.0;MANQUE;28.0;14.993
CNSO;5998-14-4852168;1.0;29.0;28.0;SURPLUS;28.0;0.034
CNSO;5895-01-6548907;41.0;68.0;27.0;SURPLUS;27.0;0.603
