nomenclature;nb_deficits;deficit_total;deficit_moyen;deficit_min;deficit_max;total_exploitation;moy_exploitation;total_stock;moy_stock;nb_magasins;nb_manques;nb_surplus;manques_total;surplus_total
6130-14-5650944;4;-49.0;-12.25;-31.0;1.0;64.0;16.0;15.0;3.75;4;3.0;1.0;50.0;1.0
7025-01-6667665;2;-48.0;-24.0;-52.0;4.0;54.0;27.0;6.0;3.0;2;1.0;1.0;52.0;4.0
5895-01-6658656;2;-47.0;-23.5;-38.0;-9.0;50.0;25.0;3.0;1.5;2;2.0;;47.0;
6130-14-5641779;1;46.0;46.0;46.0;46.0;2.0;2.0;48.0;48.0;1;;1.0;;46.0
9030-DI-1012015;1;-46.0;-46.0;-46.0;-46.0;50.0;50.0;4.0;4.0;1;1.0;;46.0;
8145-14-5955933;1;45.0;45.0;45.0;45.0;1.0;1.0;46.0;46.0;1;;1.0;;45.0
5998-14-5314940;1;44.0;44.0;44.0;44.0;4.0;4.0;48.0;48.0;1;;1.0;;44.0
5825-64-0000616;4;-44.0;-11.0;-41.0;0.0;52.0;13.0;8.0;2.0;4;2.0;;44.0;
5810-14-5879461;6;-44.0;-7.33;-20.0;7.0;63.0;10.5;19.0;3.17;6;5.0;1.0;51.0;7.0
5998-14-4491657;1;44.0;44.0;44.0;44.0;2.0;2.0;46.0;46.0;1;;1.0;;44.0
5998-14-4491641;1;43.0;43.0;43.0;43.0;8.0;8.0;51.0;51.0;1;;1.0;;43.0
7025-01-5997505;2;43.0;21.5;13.0;30.0;3.0;1.5;46.0;23.0;2;;2.0;;43.0
7025-14-5947967;4;-43.0;-10.75;-32.0;9.0;82.0;20.5;39.0;9.75;4;3.0;1.0;52.0;9.0
5975-14-5882845;7;-41.0;-5.86;-36.0;32.0;119.0;17.0;78.0;11.14;7;4.0;1.0;73.0;32.0
5998-14-4535521;1;-41.0;-41.0;-41.0;-41.0;42.0;42.0;1.0;1.0;1;1.0;;41.0;
6130-01-6470900;2;-40.0;-20.0;-37.0;-3.0;43.0;21.5;3.0;1.5;2;2.0;;40.0;
7035-14-5914936;2;40.0;20.0;-16.0;56.0;20.0;10.0;60.0;30.0;2;1.0;1.0;16.0;56.0
5998-14-4852172;1;39.0;39.0;39.0;39.0;2.0;2.0;41.0;41.0;1;;1.0;;39.0
9080-DI-0392021;2;-39.0;-19.5;-42.0;3.0;50.0;25.0;11.0;5.5;2;1.0;1.0;42.0;3.0
5895-14-5223346;1;38.0;38.0;38.0;38.0;1.0;1.0;39.0;39.0;1;;1.0;;38.0
7035-01-6852648;2;-37.0;-18.5;-37.0;0.0;41.0;20.5;4.0;2.0;2;1.0;;37.0;
7025-14-5961091;1;37.0;37.0;37.0;37.0;9.0;9.0;46.0;46.0;1;;1.0;;37.0
7025-01-6409763;3;-37.0;-12.33;-34.0;15.0;63.0;21.0;26.0;8.67;3;2.0;1.0;52.0;15.0
5895-14-5892204;2;37.0;18.5;8.0;29.0;42.0;21.0;79.0;39.5;2;;2.0;;37.0
7025-14-5894540;1;-37.0;-37.0;-37.0;-37.0;38.0;38.0;1.0;1.0;1;1.0;;37.0;
5998-14-5217075;3;-36.0;-12.0;-19.0;-7.0;42.0;14.0;6.0;2.0;3;3.0;;36.0;
5895-01-6412003;1;-36.0;-36.0;-36.0;-36.0;44.0;44.0;8.0;8.0;1;1.0;;36.0;
7025-01-5259491;2;36.0;18.0;-7.0;43.0;10.0;5.0;46.0;23.0;2;1.0;1.0;7.0;43.0
7050-20-0042340;6;36.0;6.0;-71.0;242.0;237.0;39.5;273.0;45.5;6;5.0;1.0;206.0;242.0
5895-01-6659304;5;-36.0;-7.2;-16.0;6.0;57.0;11.4;21.0;4.2;5;4.0;1.0;42.0;6.0
5820-22-6229684;3;-35.0;-11.67;-26.0;-1.0;49.0;16.33;14.0;4.67;3;3.0;;35.0;
7025-14-5849743;3;-35.0;-11.67;-46.0;31.0;74.0;24.67;39.0;13.0;3;2.0;1.0;66.0;31.0
5985-14-5944610;3;-35.0;-11.67;-30.0;0.0;45.0;15.0;10.0;3.33;3;2.0;;35.0;
7025-01-6305849;2;-35.0;-17.5;-52.0;17.0;62.0;31.0;27.0;13.5;2;1.0;1.0;52.0;17.0
7025-01-6571299;6;-35.0;-5.83;-15.0;0.0;43.0;7.17;8.0;1.33;6;5.0;;35.0;
5998-14-4491656;1;34.0;34.0;34.0;34.0;4.0;4.0;38.0;38.0;1;;1.0;;34.0
5998-14-5890370;3;-34.0;-11.33;-44.0;15.0;62.0;20.67;28.0;9.33;3;2.0;1.0;49.0;15.0
7025-14-5874071;1;-34.0;-34.0;-34.0;-34.0;39.0;39.0;5.0;5.0;1;1.0;;34.0;
5810-14-5763435;2;-34.0;-17.0;-24.0;-10.0;37.0;18.5;3.0;1.5;2;2.0;;34.0;
5120-12-4068022;2;34.0;17.0;0.0;34.0;25.0;12.5;59.0;29.5;2;;1.0;;34.0
7025-01-6429649;1;-33.0;-33.0;-33.0;-33.0;34.0;34.0;1.0;1.0;1;1.0;;33.0;
5998-20-0085539;3;-33.0;-11.0;-22.0;4.0;50.0;16.67;17.0;5.67;3;2.0;1.0;37.0;4.0
7025-17-1254851;1;33.0;33.0;33.0;33.0;1.0;1.0;34.0;34.0;1;;1.0;;33.0
7025-14-5947791;1;33.0;33.0;33.0;33.0;4.0;4.0;37.0;37.0;1;;1.0;;33.0
7490-01-5822347;3;-33.0;-11.0;-31.0;1.0;40.0;13.33;7.0;2.33;3;2.0;1.0;34.0;1.0
6130-14-5654861;1;-33.0;-33.0;-33.0;-33.0;34.0;34.0;1.0;1.0;1;1.0;;33.0;
5895-14-5147140;1;33.0;33.0;33.0;33.0;2.0;2.0;35.0;35.0;1;;1.0;;33.0
5998-14-5649409;4;33.0;8.25;-2.0;34.0;7.0;1.75;40.0;10.0;4;1.0;2.0;2.0;35.0
7025-01-6470038;1;33.0;33.0;33.0;33.0;1.0;1.0;34.0;34.0;1;;1.0;;33.0
5998-14-5776623;3;-33.0;-11.0;-21.0;-5.0;38.0;12.67;5.0;1.67;3;3.0;;33.0;
5975-14-6014460;4;33.0;8.25;-14.0;61.0;35.0;8.75;68.0;17.0;4;3.0;1.0;28.0;61.0
5998-14-4535518;1;-32.0;-32.0;-32.0;-32.0;34.0;34.0;2.0;2.0;1;1.0;;32.0;
5998-14-4852177;1;-32.0;-32.0;-32.0;-32.0;36.0;36.0;4.0;4.0;1;1.0;;32.0;
5810-14-5860297;3;32.0;10.67;-4.0;39.0;10.0;3.33;42.0;14.0;3;2.0;1.0;7.0;39.0
7025-01-7061923;1;32.0;32.0;32.0;32.0;7.0;7.0;39.0;39.0;1;;1.0;;32.0
5998-14-5900499;2;-32.0;-16.0;-25.0;-7.0;45.0;22.5;13.0;6.5;2;2.0;;32.0;
7025-01-6691110;5;-31.0;-6.2;-31.0;20.0;59.0;11.8;28.0;5.6;5;4.0;1.0;51.0;20.0
7025-01-6735508;3;-31.0;-10.33;-31.0;5.0;46.0;15.33;15.0;5.0;3;2.0;1.0;36.0;5.0
7050-14-5822576;3;31.0;10.33;-61.0;123.0;198.0;66.0;229.0;76.33;3;2.0;1.0;92.0;123.0
5998-14-5649411;6;-31.0;-5.17;-31.0;41.0;86.0;14.33;55.0;9.17;6;5.0;1.0;72.0;41.0
7010-14-5944723;1;-31.0;-31.0;-31.0;-31.0;32.0;32.0;1.0;1.0;1;1.0;;31.0;
7035-14-5860693;3;30.0;10.0;-31.0;69.0;44.0;14.67;74.0;24.67;3;2.0;1.0;39.0;69.0
5895-14-5470829;1;30.0;30.0;30.0;30.0;9.0;9.0;39.0;39.0;1;;1.0;;30.0
5810-14-5872748;2;-30.0;-15.0;-23.0;-7.0;32.0;16.0;2.0;1.0;2;2.0;;30.0;
7025-01-6429660;2;-30.0;-15.0;-27.0;-3.0;37.0;18.5;7.0;3.5;2;2.0;;30.0;
5998-14-5649223;3;30.0;10.0;-4.0;36.0;14.0;4.67;44.0;14.67;3;2.0;1.0;6.0;36.0
9010-DI-1022014;1;-30.0;-30.0;-30.0;-30.0;33.0;33.0;3.0;3.0;1;1.0;;30.0;
5998-14-4682244;1;30.0;30.0;30.0;30.0;2.0;2.0;32.0;32.0;1;;1.0;;30.0
7010-14-5696893;1;-29.0;-29.0;-29.0;-29.0;50.0;50.0;21.0;21.0;1;1.0;;29.0;
7025-01-6620265;1;-29.0;-29.0;-29.0;-29.0;31.0;31.0;2.0;2.0;1;1.0;;29.0;
5998-14-4852170;1;29.0;29.0;29.0;29.0;2.0;2.0;31.0;31.0;1;;1.0;;29.0
